Autor,Comentário,Data,Likes,Sentimento BERT
@halloweenbrasil,Eu acho que dessa vez o Oscar vem,2024-10-10T07:41:14Z,1,
@ARMY_kimstar-YET.TO.COME_2025,*QUERO MUITO IR ASSISTIR SIM.*,2024-10-10T04:39:26Z,0,
@gilbertodeoliveira7370,"Ah, é um filme sobre sorriso. Entendi.",2024-10-10T03:53:12Z,0,
@heloisemar9257,A estreia é no dia do meu aniversário. Ansiosa por esse presente 😊,2024-10-10T00:10:11Z,0,
@diegoserafimm,A indicação ao Oscar vem! 🙏🏻😎,2024-10-09T23:22:27Z,0,
@khabirgaiarsa7896,pode chorar com trailer?,2024-10-09T20:05:48Z,0,
@thiagocardoso358,"SE AS PAREDES FALASSEM  DIRIAM  QUANTAS VIAGEM 
 EM  FERNANDA MONTE NEGRO FAZ SUCESSO",2024-10-09T17:13:35Z,0,
@MurilloAlencar-u3u,Spider man across the spider verse live action,2024-10-09T15:55:00Z,0,
@MurilloAlencar-u3u,Spider man into the spider verse live action,2024-10-09T15:53:25Z,0,
@heyimchilllin,lindo. lindo. lindo.,2024-10-09T12:13:35Z,0,
@torisvideos2012,um grande filme ainda não assisti,2024-10-09T10:33:02Z,0,
@xamiro96,quase chorei no trailer,2024-10-09T04:52:40Z,0,
@josehenrique-s9i,Parece ser um filmaço,2024-10-09T02:50:08Z,0,
@dualitoz,Nós vamos sorrir.,2024-10-09T02:41:59Z,0,
@rogerdotwav,se eu já tô quase chorando com um trailer imagina quando eu assistir no cinema kkkkkkk vai ser chororô pra todo lado,2024-10-08T20:35:47Z,0,
@katonwnluan,"PRECISO IR, PORRAA",2024-10-08T16:05:19Z,0,
@LuisAraujo2000,Já vou deixar agendado o horário para assistir no cinema,2024-10-08T14:36:34Z,0,
@paulocesarsilva6272,"Caralho, arrepiante",2024-10-08T12:53:11Z,0,
@dju164,To tão ansiosa pra esse filme. Torcida gigante pra ele ♥♥,2024-10-08T07:01:44Z,0,
@sarahribeiro9751,"Que depressão só de olhar a cor do filme. Sempre colocam os filmes brasileiros com uma cor horrorosa, casas esquisitas, chão batido. Não nosso Brasil tem cores vivas, muito verde, céu azul é um sol brilhante. Lugares lindos e cheios de vida, coqueiros, calçadões largos, água de coco, tudo muito vivo, vivo, vivo. Que depre eu senti. Credo!!!",2024-10-07T23:29:08Z,1,
@manuelmauriciosilvameloman1584,"O erro desses filmes brasileiros e querer competir o Oscar com  potencial dos filmes americano ali dentro e uma máfia gigantesca e como se fosse pequinês brigando com Pitbull, Deus queira que eles levem o Oscar",2024-10-07T21:38:12Z,0,
@danilofredericopereira693,Emocionante… só o trailer já me deixou assim,2024-10-07T16:56:16Z,1,
@viniciusp_diogo,"O que esse filme vai fazer o povo chorar não vai ser pouca coisa, só o trailer já é algo belíssimo, ainda falam que o cinema Brasileiro é ruim",2024-10-07T00:30:10Z,70,
@marteataca1,Espero que realmente seja um excelente filme e que o Oscar venha para o Brasil.,2024-10-06T21:16:22Z,0,
@rauax2484,"""Nós vamos sorrir. Sorriam!"" Me deixou arrepiado.",2024-10-06T20:07:27Z,0,
@antoniondrade,Sensacional,2024-10-06T19:23:32Z,1,
@buzzlion,Viva,2024-10-06T18:30:13Z,0,
@buzzlion,Pra cima,2024-10-06T18:29:47Z,0,
@buzzlion,Vamos,2024-10-06T18:29:37Z,0,
@buzzlion,Amo,2024-10-06T18:29:19Z,0,
@eunicepoetisa45,"Aí, meu desculpem. Posso morder a língua lá na frente, mas o trailer não me empolgou nem um pouco.",2024-10-06T13:43:00Z,2,
@ronildo102,Cinema nacional é bom nem tudo de resume a lavagem de dinheiro com humoristas meia boca.,2024-10-06T10:23:29Z,0,
@AquimanC,Na torcida! 🙏🏻🙏🏻,2024-10-06T03:15:03Z,0,
@yasminpereira8065,O Oscar é nosso 🇧🇷🇧🇷,2024-10-06T02:14:32Z,1,
@yasminpereira8065,Tanta obra prima no cinema nacional e o povo brasileiro dando palco para os states!!,2024-10-06T02:11:15Z,3,
@jaquelinesotnas2990,Me comovi no trailer.,2024-10-06T01:07:37Z,0,
@Antsheriff,Oscar conserte o que você fez à Fernanda e ao Brasil em 1999,2024-10-05T21:14:20Z,1,
@maxbrunot,Fodse o Oscar. O Brasileiro precisa parar de ficar esperando ps EUA validar o que nos fazemos.,2024-10-05T20:34:51Z,2,
@666rodnei,FERNANDA TORRES OSCAR WINNERRRRR ♥,2024-10-05T18:35:40Z,1,
@Sonia-ln2hl,"Vamos sim prestigiar o cinema nacional, boa sorte! 🙏⭐",2024-10-05T17:49:57Z,0,
@felipe56512,POR FAVOR ENCHAM AS SALAS DE CINEMA COM ESSE!,2024-10-05T17:46:54Z,1,
@philiperoberto1404,Contando os dias pra ver no cinema!,2024-10-05T17:43:52Z,0,
@nexusliterario,Viva o cinema brasileiro!! Vem Oscar!🎉,2024-10-05T17:19:46Z,0,
@dionisioneto3952,Vamos ao cinema!,2024-10-05T16:33:15Z,0,
@emmanuelchaves4855,Parece o filme que foi escolhido para concorrer no lugar de Tropa de Elite e perdeu o Oscar vergonhosamente.,2024-10-05T12:34:12Z,1,
@emmanuelchaves4855,Meh,2024-10-05T12:21:01Z,0,
@andreplath5816,Ela vai ganhar esse Oscar SIM e nós vamos estar todos aplaudindo ❤,2024-10-05T06:08:23Z,18,
@LoveSONGne,"Nice bro, I liked your video.",2024-10-05T04:17:07Z,0,
@raullima1715,"Mais de 2 anos sem ir ao Cinema, quebrarei o hiato com Ainda Estou Aqui, é obrigação de todo Brasileiro.",2024-10-05T04:15:21Z,176,
@riquelme444,Espero q a Fernanda torres ganha o Oscar em 2025,2024-10-05T02:13:33Z,0,
@andrewmatheus5,o cinema brasileiro vive!!,2024-10-05T01:18:28Z,8,
@Daniel-y3g1b,Sony invista [e o melhor do brasil em filme ha decadas !!!!,2024-10-05T01:09:10Z,5,
@Ivan-rr8jm,#Viva64 #Salveo31deMarço,2024-10-05T00:55:13Z,0,
@cesarsfalcao,SORRIAM!,2024-10-05T00:42:32Z,0,
@mayara_Liv,Novembro vou está na salinha do cinema,2024-10-05T00:27:04Z,0,
@TMDSOUL,"Depois da bomba do filme Silvio, vem esse filme para a gente recuperar a fé no cinema nacional",2024-10-05T00:14:24Z,2,
@josuecb_,Muito lindo e emocionante. ❤,2024-10-04T23:34:53Z,2,
